Topic,Positive,Negative,Neutral
rules,2,3,0
flight,1,1,3
lockdowns,1,2,0
flying,1,1,1
sit,1,2,0
bla,0,1,0
sitting,0,2,0
jim,0,3,0
sing,0,1,0
risky,0,2,0
gmt,0,0,9
coronavirusupdate,0,0,9
coronaviruspandemic,0,0,9
coronavirus,0,0,11
23,0,0,6
died,1,5,3
total,0,2,2
deaths,1,6,7
australia,0,2,1
chaos,0,3,0
team,3,2,1
union,4,2,0
died,2,5,2
philaunion,1,4,0
players,2,2,2
proud,4,0,0
psychological,0,2,1
issue,0,3,0
ill,0,1,1
profits,0,2,0
shot,10,13,6
booster,14,14,5
boosters,0,5,0
shots,3,7,1
vaccinated,14,8,4
unvaccinated,3,4,0
reactions,2,2,0
mrna,0,3,0
unvaxxed,2,1,0
jabs,2,3,0
omicron,5,13,8
african,1,3,1
variant,5,5,6
omnicron,0,1,1
coronavirus,1,1,0
cost,0,2,0
strain,0,3,0
rise,0,0,3
stocks,0,0,3
milder,0,1,0
throat,1,4,1
breathe,1,3,1
symptoms,3,2,2
smell,1,7,0
fever,1,3,0
taste,1,8,0
lungs,1,2,0
goodness,1,1,0
headache,0,1,1
dry,0,2,0
tomorrow,3,4,2
tested,4,9,5
antigen,0,2,0
test,4,15,6
results,1,4,0
kinda,1,0,1
ur,1,0,0
antibody,1,1,0
absolute,1,1,0
hey,0,2,0
assess,0,1,0
amish,0,0,1
corvid,1,0,0
deer,0,0,1
george,1,1,3
killed,0,6,2
dems,0,2,1
centers,0,2,0
seh,0,0,1
ig,0,1,1
