,id,created_at,text
0,1462952245482323968,2021-11-23T01:12:50.000Z,"@Tyler48405015 @janessa_allison Article from today: “the risk of myocarditis, a form of heart inflammation, is higher in the event of a COVID-19 infection than in association with vaccination, plus the condition is treatable.” https://t.co/0JgAiDWgr3 https://t.co/9pj8ePyS63"
1,1462952183322710016,2021-11-23T01:12:35.000Z,"Sask. to create 'safe zones' around schools to protect against anti-vaccination protests:  ""50-metre perimeter around schools to be protected by law""  https://t.co/bUKF8xqcfa #cdnpoli #skpoli #antivaxxers #Covid19 #Covid19SK #Covid19Canada"
2,1462952161432776709,2021-11-23T01:12:30.000Z,Seriously? 👇  Parents elated 'it's happening' as thousands able to book vaccine appointments for Manitoba kids 5-11 https://t.co/QMNlvBp4Zm
3,1462952111579320320,2021-11-23T01:12:18.000Z,@iupdate Thanks canada for the health insurance that cost you nothing to pass a covid test
4,1462951957660942340,2021-11-23T01:11:41.000Z,😩🙄👇  Parents elated 'it's happening' as thousands able to book vaccine appointments for Manitoba kids 5-11 https://t.co/QMNlvBp4Zm
5,1462951949108580359,2021-11-23T01:11:39.000Z,City centres in Canada have been hit hard by the COVID-19 pandemic.   Join us for a panel discussion regarding the state of our city centre and the actions required to reinvigorate downtown Vancouver.  https://t.co/0L9mZN9MXu https://t.co/43imj03So6
6,1462951739909447683,2021-11-23T01:10:49.000Z,FREE!! Canada is OPEN 🤩 #entry #borders #health #pandemic #covidcases  https://t.co/6EsX6sZWSq
7,1462951682136969217,2021-11-23T01:10:36.000Z,"@AbsolutLiterate @IRPlawyer ""Effective November 30, 2021, fully vaccinated individuals with right of entry to Canada, who depart and re-enter the country within 72 hours of leaving Canada are exempt from providing a pre-entry COVID-19 molecular test result."""
8,1462951667087912969,2021-11-23T01:10:32.000Z,"Global #Coronavirus quick facts:  Cases:257,547K(↑0.2%)&amp;US accounts for 18.6% Deaths:5,146K(↑0.2%)&amp;US accounts for 15.0% Top 5: #US:47,730 K cases(↑0.1%) #India:34,518(↑0.0%) #Brazil :22.017K(↑0.0%) #UK: 9,897K(↑0.4%) #Russia: 9,170K(↑0.4%) https://t.co/MR4EDxurFH https://t.co/JQz0qVt7Y1"
9,1462951612561997831,2021-11-23T01:10:19.000Z,Manitoba NDP leader Wab Kinew tests positive for COVID-19. Kinew is fully vaccinated  https://t.co/aJLfnKwYxW
10,1462951228099502080,2021-11-23T01:08:47.000Z,This harmful policy placed marginalized people at risk and needed to end @CARLadvocates @amp6   Canada ends COVID-19 policy turning back asylum-seekers between border crossings https://t.co/DNypGE1ot3
11,1462951032179339267,2021-11-23T01:08:01.000Z,COVID-19: Canada officially scraps PCR test requirement for short trips ... https://t.co/qYY0KrC3gX via @YouTube
12,1462951014798184454,2021-11-23T01:07:56.000Z,Canada ends COVID-19 policy turning back asylum-seekers between border crossings https://t.co/JgDDLrEgdR
13,1462950904307625987,2021-11-23T01:07:30.000Z,"Walmart Canada has started to deploy electronic temperature / face recognition terminals in all of their Ontario stores to conduct ""wellness &amp; temperature checks"" of employees. Nothing is being done to check the health or temperatures of customers. Customers can't spread covid?"
